Vorname,Anzahl,Geschlecht
Emilia,131,w
Anna,106,w
Emma,98,w
Mila,83,w
Marie,80,w
Paula,78,w
Lena,77,w
Charlotte,75,w
Lea,74,w
Sophia,74,w
Mia,73,w
Lina,72,w
Sophie,71,w
Laura,70,w
Antonia,65,w
Clara,65,w
Lara,65,w
Ella,63,w
Nora,61,w
Amelie,59,w
Elisa,59,w
Helena,59,w
Luisa,58,w
Hannah,57,w
Leonie,57,w
Olivia,48,w
Sofia,48,w
Ida,46,w
Johanna,46,w
Sara,46,w
Hanna,44,w
Klara,44,w
Elisabeth,42,w
Maria,41,w
Emily,40,w
Marlene,40,w
Valentina,39,w
Carla,38,w
Elena,37,w
Leni,37,w
Maya,37,w
Eva,35,w
Matilda,35,w
Julia,34,w
Sarah,33,w
Theresa,33,w
Luna,32,w
Magdalena,32,w
Frida,31,w
Isabella,31,w
Josephine,31,w
Rosa,31,w
Alma,30,w
Ava,30,w
Louisa,30,w
Zoe,30,w
Mathilda,29,w
Melina,29,w
Lia,27,w
Lotta,26,w
Nina,26,w
Romy,26,w
Amalia,25,w
Amira,25,w
Tilda,25,w
Lilly,24,w
Victoria,24,w
Carlotta,23,w
Frieda,23,w
Thea,23,w
Alina,22,w
Maja,22,w
Mara,22,w
Pauline,22,w
Aurelia,21,w
Paulina,21,w
Valerie,21,w
Lisa,20,w
Mira,20,w
Philippa,20,w
Cleo,19,w
Josefine,19,w
Viktoria,19,w
Amelia,18,w
Juna,18,w
Luise,18,w
Ela,17,w
Elina,17,w
Hana,17,w
Karla,17,w
Livia,17,w
Milena,17,w
Ronja,17,w
Rosalie,17,w
Stella,17,w
Flora,16,w
Katharina,16,w
Liya,16,w
Lucia,16,w
Alice,15,w
Amina,15,w
Ana,15,w
Ayla,15,w
Jana,15,w
Martha,15,w
Miriam,15,w
Nele,15,w
Viola,15,w
Chiara,14,w
Franziska,14,w
Lana,14,w
Lilli,14,w
Linda,14,w
Melissa,14,w
Alba,13,w
Anastasia,13,w
Azra,13,w
Finja,13,w
Fiona,13,w
Jasmin,13,w
Liv,13,w
Lola,13,w
Pia,13,w
Aurora,12,w
Marta,12,w
Merjem,12,w
Nika,12,w
Alea,11,w
Alessia,11,w
Annika,11,w
Dalia,11,w
Elise,11,w
Felicitas,11,w
Leah,11,w
Leyla,11,w
Noemi,11,w
Alya,10,w
Anni,10,w
Asel,10,w
Elif,10,w
Ellie,10,w
Isabel,10,w
Karlotta,10,w
Kiara,10,w
Kira,10,w
Lilia,10,w
Liliana,10,w
Lilith,10,w
Mina,10,w
Nela,10,w
Yara,10,w
Ada,9,w
Alicia,9,w
Alisa,9,w
Alva,9,w
Cecilia,9,w
Eleonora,9,w
Elsa,9,w
Franka,9,w
Lily,9,w
Lotte,9,w
Luana,9,w
Malia,9,w
Medina,9,w
Meryem,9,w
Mona,9,w
Nicole,9,w
Tamara,9,w
Tara,9,w
Valeria,9,w
Yuna,9,w
Ajla,8,w
Aliya,8,w
Annabelle,8,w
Diana,8,w
Eliana,8,w
Eliza,8,w
Ema,8,w
Emmi,8,w
Esma,8,w
Esther,8,w
Leana,8,w
Liana,8,w
Louise,8,w
Maila,8,w
Meyra,8,w
Milla,8,w
Nefeli,8,w
Ophelia,8,w
Rebecca,8,w
Tea,8,w
Una,8,w
Vera,8,w
Wilma,8,w
Zoé,8,w
Alexandra,7,w
Ariana,7,w
Camilla,7,w
Daria,7,w
Elin,7,w
Emilie,7,w
Fatima,7,w
Filippa,7,w
Gaia,7,w
Lorena,7,w
Malea,7,w
Mariella,7,w
Marina,7,w
Marla,7,w
Merle,7,w
Naomi,7,w
Nia,7,w
Nila,7,w
Noa,7,w
Samira,7,w
Talia,7,w
Tessa,7,w
Vivien,7,w
Yasmin,7,w
Angelina,6,w
Aria,6,w
Carlota,6,w
Cataleya,6,w
Cosima,6,w
Defne,6,w
Dora,6,w
Dua,6,w
Edda,6,w
Eleanor,6,w
Emmy,6,w
Felicia,6,w
Fritzi,6,w
Giulia,6,w
Hailey,6,w
Hilda,6,w
Iva,6,w
Josefina,6,w
Karolina,6,w
Katarina,6,w
Klea,6,w
Leona,6,w
Madeleine,6,w
Malina,6,w
Marlena,6,w
Martina,6,w
Melek,6,w
Milana,6,w
Neyla,6,w
Petra,6,w
Philine,6,w
Selin,6,w
Selma,6,w
Teodora,6,w
Teresa,6,w
Thalia,6,w
Zara,6,w
Zoë,6,w
Adriana,5,w
Aisha,5,w
Alara,5,w
Aliyah,5,w
Anouk,5,w
Asja,5,w
Aylin,5,w
Beatrice,5,w
Celine,5,w
Eleni,5,w
Elli,5,w
Esra,5,w
Evelyn,5,w
Felina,5,w
Feline,5,w
Florentine,5,w
Gloria,5,w
Greta,5,w
Helen,5,w
Helene,5,w
Iris,5,w
Isabell,5,w
Isra,5,w
Jessica,5,w
Kaia,5,w
Kenza,5,w
Laila,5,w
Larissa,5,w
Lavinia,5,w
Leonora,5,w
Liva,5,w
Lou,5,w
Lucy,5,w
Malena,5,w
Malika,5,w
Malou,5,w
Mariam,5,w
Maryam,5,w
Mathilde,5,w
Melisa,5,w
Philomena,5,w
Rafaela,5,w
Ruby,5,w
Sienna,5,w
Sofie,5,w
Yael,5,w
Zehra,5,w
Adele,4 oder weniger,w
Alejna,4 oder weniger,w
Aleksandra,4 oder weniger,w
Aleyna,4 oder weniger,w
Alissa,4 oder weniger,w
Amaia,4 oder weniger,w
Amara,4 oder weniger,w
Amaya,4 oder weniger,w
Amilia,4 oder weniger,w
Anastasija,4 oder weniger,w
Annabell,4 oder weniger,w
Annie,4 oder weniger,w
Arianna,4 oder weniger,w
Ayda,4 oder weniger,w
Cara,4 oder weniger,w
Carolina,4 oder weniger,w
Caroline,4 oder weniger,w
Catalina,4 oder weniger,w
Celina,4 oder weniger,w
Chloe,4 oder weniger,w
Chloé,4 oder weniger,w
Christina,4 oder weniger,w
Eda,4 oder weniger,w
Elea,4 oder weniger,w
Eliz,4 oder weniger,w
Elizabeth,4 oder weniger,w
Emelie,4 oder weniger,w
Emilija,4 oder weniger,w
Emina,4 oder weniger,w
Enna,4 oder weniger,w
Eslem,4 oder weniger,w
Felipa,4 oder weniger,w
Freya,4 oder weniger,w
Gabriela,4 oder weniger,w
Hafsa,4 oder weniger,w
Hayal,4 oder weniger,w
Heidi,4 oder weniger,w
Henriette,4 oder weniger,w
Hira,4 oder weniger,w
Ina,4 oder weniger,w
Ines,4 oder weniger,w
Isabelle,4 oder weniger,w
Josefin,4 oder weniger,w
Jule,4 oder weniger,w
Leila,4 oder weniger,w
Lene,4 oder weniger,w
Leticia,4 oder weniger,w
Letizia,4 oder weniger,w
Liah,4 oder weniger,w
Linnea,4 oder weniger,w
Liyana,4 oder weniger,w
Luzia,4 oder weniger,w
Luzie,4 oder weniger,w
Mariana,4 oder weniger,w
Marija,4 oder weniger,w
Matea,4 oder weniger,w
Matilde,4 oder weniger,w
Melinda,4 oder weniger,w
Michelle,4 oder weniger,w
Milou,4 oder weniger,w
Nala,4 oder weniger,w
Natalia,4 oder weniger,w
Natalie,4 oder weniger,w
Nejla,4 oder weniger,w
Nisa,4 oder weniger,w
Pina,4 oder weniger,w
Rania,4 oder weniger,w
Ria,4 oder weniger,w
Romina,4 oder weniger,w
Safa,4 oder weniger,w
Selena,4 oder weniger,w
Selina,4 oder weniger,w
Sena,4 oder weniger,w
Sidra,4 oder weniger,w
Tiana,4 oder weniger,w
Veronika,4 oder weniger,w
Wanda,4 oder weniger,w
Yana,4 oder weniger,w
Ylva,4 oder weniger,w
Yusra,4 oder weniger,w
Zahra,4 oder weniger,w
Zeynab,4 oder weniger,w
Adeline,4 oder weniger,w
Adna,4 oder weniger,w
Agnes,4 oder weniger,w
Ajda,4 oder weniger,w
Amal,4 oder weniger,w
Amanda,4 oder weniger,w
Amber,4 oder weniger,w
Amila,4 oder weniger,w
Anaïs,4 oder weniger,w
Anika,4 oder weniger,w
Anna-Maria,4 oder weniger,w
Annelie,4 oder weniger,w
Anthea,4 oder weniger,w
Ariadni,4 oder weniger,w
Ariella,4 oder weniger,w
Arya,4 oder weniger,w
Asya,4 oder weniger,w
Atena,4 oder weniger,w
Aylis,4 oder weniger,w
Ayliz,4 oder weniger,w
Azzurra,4 oder weniger,w
Bella,4 oder weniger,w
Beren,4 oder weniger,w
Bianca,4 oder weniger,w
Camila,4 oder weniger,w
Carolin,4 oder weniger,w
Celia,4 oder weniger,w
Claire,4 oder weniger,w
Dahlia,4 oder weniger,w
Dana,4 oder weniger,w
Dania,4 oder weniger,w
Dijana,4 oder weniger,w
Dilara,4 oder weniger,w
